state,district,crop,year,season,area_hectares,Area Units,production_tonnes,Production Units,yield_kg_per_hectare,subdivision,year_num
Maharashtra,NANDURBAR,Gram,1999-00,Rabi,3100.0,Hectare,1200.0,Tonnes,387.09677419354836,Madhya Maharashtra,1999
Maharashtra,NASHIK,Gram,1997-98,Kharif,52200.0,Hectare,24700.0,Tonnes,473.1800766283525,Madhya Maharashtra,1997
Maharashtra,NASHIK,Gram,1998-99,Rabi,60300.0,Hectare,39700.0,Tonnes,658.3747927031509,Madhya Maharashtra,1998
Maharashtra,NASHIK,Gram,1999-00,Rabi,60000.0,Hectare,39300.0,Tonnes,655.0,Madhya Maharashtra,1999
Maharashtra,NASHIK,Gram,2000-01,Rabi,24200.0,Hectare,10900.0,Tonnes,450.4132231404958,Madhya Maharashtra,2000
Maharashtra,OSMANABAD,Gram,1998-99,Rabi,50000.0,Hectare,27500.0,Tonnes,550.0,Matathwada,1998
Maharashtra,OSMANABAD,Gram,1999-00,Rabi,50300.0,Hectare,28100.0,Tonnes,558.6481113320079,Matathwada,1999
Maharashtra,OSMANABAD,Gram,2000-01,Rabi,53100.0,Hectare,30100.0,Tonnes,566.8549905838041,Matathwada,2000
Maharashtra,PARBHANI,Gram,1998-99,Rabi,68000.0,Hectare,32700.0,Tonnes,480.88235294117646,Matathwada,1998
Maharashtra,PARBHANI,Gram,1999-00,Rabi,57600.0,Hectare,35100.0,Tonnes,609.375,Matathwada,1999
Maharashtra,PARBHANI,Gram,2000-01,Rabi,34900.0,Hectare,16700.0,Tonnes,478.51002865329514,Matathwada,2000
Maharashtra,PUNE,Gram,1997-98,Kharif,43400.0,Hectare,26100.0,Tonnes,601.3824884792626,Madhya Maharashtra,1997
Maharashtra,PUNE,Gram,1998-99,Rabi,47900.0,Hectare,29900.0,Tonnes,624.2171189979123,Madhya Maharashtra,1998
Maharashtra,PUNE,Gram,1999-00,Rabi,51500.0,Hectare,34700.0,Tonnes,673.7864077669902,Madhya Maharashtra,1999
Maharashtra,PUNE,Gram,2000-01,Rabi,53600.0,Hectare,32200.0,Tonnes,600.7462686567164,Madhya Maharashtra,2000
Maharashtra,RAIGAD,Gram,1997-98,Kharif,2000.0,Hectare,1200.0,Tonnes,600.0,Konkan & Goa,1997
Maharashtra,RAIGAD,Gram,1998-99,Rabi,2100.0,Hectare,1300.0,Tonnes,619.047619047619,Konkan & Goa,1998
Maharashtra,RAIGAD,Gram,1999-00,Rabi,2300.0,Hectare,1500.0,Tonnes,652.1739130434783,Konkan & Goa,1999
Maharashtra,RAIGAD,Gram,2000-01,Rabi,2000.0,Hectare,1100.0,Tonnes,550.0,Konkan & Goa,2000
Maharashtra,RATNAGIRI,Gram,1998-99,Rabi,100.0,Hectare,100.0,Tonnes,1000.0,Konkan & Goa,1998
Maharashtra,SANGLI,Gram,1997-98,Kharif,23500.0,Hectare,13500.0,Tonnes,574.468085106383,Madhya Maharashtra,1997
Maharashtra,SANGLI,Gram,1998-99,Rabi,30700.0,Hectare,25000.0,Tonnes,814.3322475570033,Madhya Maharashtra,1998
Maharashtra,SANGLI,Gram,1999-00,Rabi,31200.0,Hectare,25500.0,Tonnes,817.3076923076923,Madhya Maharashtra,1999
Maharashtra,SANGLI,Gram,2000-01,Rabi,27800.0,Hectare,21400.0,Tonnes,769.7841726618705,Madhya Maharashtra,2000
Maharashtra,SATARA,Gram,1997-98,Kharif,21300.0,Hectare,10700.0,Tonnes,502.3474178403756,Madhya Maharashtra,1997
Maharashtra,SATARA,Gram,1998-99,Rabi,23800.0,Hectare,15900.0,Tonnes,668.0672268907563,Madhya Maharashtra,1998
Maharashtra,SATARA,Gram,1999-00,Rabi,26300.0,Hectare,18400.0,Tonnes,699.6197718631179,Madhya Maharashtra,1999
Maharashtra,SATARA,Gram,2000-01,Rabi,23000.0,Hectare,11700.0,Tonnes,508.695652173913,Madhya Maharashtra,2000
Maharashtra,SOLAPUR,Gram,1997-98,Kharif,32100.0,Hectare,11300.0,Tonnes,352.02492211838,Madhya Maharashtra,1997
Maharashtra,SOLAPUR,Gram,1998-99,Rabi,50500.0,Hectare,28600.0,Tonnes,566.3366336633662,Madhya Maharashtra,1998
Maharashtra,SOLAPUR,Gram,1999-00,Rabi,37800.0,Hectare,25300.0,Tonnes,669.3121693121693,Madhya Maharashtra,1999
Maharashtra,SOLAPUR,Gram,2000-01,Rabi,30700.0,Hectare,17300.0,Tonnes,563.5179153094463,Madhya Maharashtra,2000
Maharashtra,THANE,Gram,1997-98,Kharif,3700.0,Hectare,2200.0,Tonnes,594.5945945945946,Konkan & Goa,1997
Maharashtra,THANE,Gram,1998-99,Rabi,3800.0,Hectare,2300.0,Tonnes,605.2631578947369,Konkan & Goa,1998
Maharashtra,THANE,Gram,1999-00,Rabi,3800.0,Hectare,2500.0,Tonnes,657.8947368421053,Konkan & Goa,1999
Maharashtra,THANE,Gram,2000-01,Rabi,3800.0,Hectare,2000.0,Tonnes,526.3157894736842,Konkan & Goa,2000
Maharashtra,WARDHA,Gram,1998-99,Rabi,19500.0,Hectare,9200.0,Tonnes,471.79487179487177,Vidarbha,1998
Maharashtra,WARDHA,Gram,1999-00,Rabi,21100.0,Hectare,11200.0,Tonnes,530.8056872037915,Vidarbha,1999
Maharashtra,WARDHA,Gram,2000-01,Rabi,16600.0,Hectare,9000.0,Tonnes,542.1686746987951,Vidarbha,2000
Maharashtra,WASHIM,Gram,1999-00,Rabi,22500.0,Hectare,16500.0,Tonnes,733.3333333333333,Vidarbha,1999
Maharashtra,WASHIM,Gram,2000-01,Rabi,17700.0,Hectare,7300.0,Tonnes,412.42937853107344,Vidarbha,2000
Maharashtra,YAVATMAL,Gram,1998-99,Rabi,18800.0,Hectare,9100.0,Tonnes,484.04255319148933,Vidarbha,1998
Maharashtra,YAVATMAL,Gram,1999-00,Rabi,22200.0,Hectare,12000.0,Tonnes,540.5405405405405,Vidarbha,1999
Maharashtra,YAVATMAL,Gram,2000-01,Rabi,13800.0,Hectare,7500.0,Tonnes,543.4782608695651,Vidarbha,2000
Maharashtra,AHMEDNAGAR,Groundnut,2001-02,Kharif,5700.0,Hectare,4500.0,Tonnes,789.4736842105264,Madhya Maharashtra,2001
Maharashtra,AHMEDNAGAR,Groundnut,2001-02,Summer,11000.0,Hectare,17200.0,Tonnes,1563.6363636363635,Madhya Maharashtra,2001
